    name宇高      	    id      	member	group	role	start	end
	/m/062vhlh	     Hank Williams III	Antiseen			
	/m/0654bxy	John Cooper	Skillet	Lead vocalist,Acoustic guitar,Bass	1996	
	/m/05kgt58	Christoph Kohli	Span	Bass guitar,Vocals		
	/m/05147hs	Rodrigo Aravena	Men at Work	Bass guitar,backing vocals	2000	
	/m/05cm2fy	Vincent Kenis	The Honeymoon Killers			
	/m/05nqgx6	Derek Lee Rock	Suburban Legends			
	/m/05nqdz6	Emil Johnson	Black Flag			
	/m/05nnk5v	Jeff Plate	Savatage			
	/m/05nn7vv	Rowland Charles Gould	Level 42			
	/m/05nn6cy	Neil Citron	Quiet Riot			
	/m/05nn2gn	David Vanian	The Damned			
	/m/063f0s1	Jay Pollard	Atlantic	Guitar	2000	2003
	/m/05t1xvj	Gavin Skinner	Julian Cope	Drum kit		
	/m/04xwczh	Sérgio Pencarinha	Cinemuerte	Drum kit	2008	
	/m/05t64d1	Dean De Benedictis	Brand X			
	/m/05nnvrt	Chris Curtis	The Searchers			
	/m/05kjzw4	Keri Kelli	Adler's Appetite	Guitar	2004	2004
	/m/05nn6k0	Susanne Sulley	The Human League			
	/m/05nn665	Sami Yaffa	New York Dolls			
	/m/05v390y	Robert Curry	DAY26			
	/m/05nqgpq	Neal Smith	Plasmatics			
	/m/064xxrh	Mick Thompson	Cacophony			
	/m/05sq_cq	Gaston Gagnon	Gaztation	Songwriter,Lead guitar	2000	
	/m/05j2208		The Pussycat Dolls	Vocals	2007	
	/m/05147kj	Greg Sneddon	Men at Work	Keyboard	1979	
	/m/05nr71p	Bob Weir	Bobby and the Midnites			
	/m/05kjzt6	Sheldon Tarsha	Adler's Appetite	Vocals	2005	
	/m/05npmx0	Eun Hyuk	Super Junior			
	/m/05t7whk	John Schlitt	Head East			
	/m/05yz0st	Victor Feldman	Steely Dan			
	/m/05nrm6s	Catfish Collins	House Guests			
	/m/05np_mf	Alex Grossi	Beautiful Creatures			
	/m/05t9308	Ken Andrews	The Wondergirls			
	/m/0h4t4_4	Blake Bunzel	In This Moment			
	/m/0h5qrqp	Miguel Arjona	OBK			
	/m/0h4vmdk	Al Garth	Nitty Gritty Dirt Band			
	/m/0gwntf6	Savina Yannatou	Primavera en Salonico	Vocals		
	/m/0h3yhx9	Eric Bass	Shinedown	Backing vocalist,Pianist,Bassist	2008	
	/m/0h4vd44	Brad Mates	Emerson Drive			
	/m/0h4xdq_	Luc Hess	The Ocean Collective	Drums		
	/m/0h4xb0w	Steve Foote	Big D and the Kids Table			
	/m/0g8517h	Corneille	Les Enfoirés		2005	2006
	/m/0g6jf3j	Rafael Montorfano	Buarquenrol		2004	
	/m/0h4x9nj	Mark Avsec	Wild Cherry	Keyboards	1975	1979
	/m/0h4v9yj	Ali Youngblood	Black Kids			
	/m/0h4v9sn	Pete Gage	Dr. Feelgood			
	/m/0gfnrf8	Danelle Leverett	The JaneDear Girls			
	/m/0h4t39b	Joe Garner	Tad		1988	
	/m/0g7mt7r	Gary Wright	Spooky Tooth		2004	
	/m/0gbhsf9	Armand Torp	New Jordal Swingers		1992	
	/m/0h4vht0	Andy Bennett	Ocean Colour Scene			
	/m/0gw2c8n	David Ellefson	Killing Machine			
	/m/0h4n8lh	Jules Radino	Blue Öyster Cult			
	/m/0h5mqs7		India.Arie			
	/m/0h4x3ln	Natalie Delaet	Lords of Acid			
	/m/0h4ss39	Rick Steier	Warrant	Rhythm guitar,Lead guitar	1994	2000
	/m/0h4rvd9	Dave Rick	Yo La Tengo			
	/m/0gbj3_g	Rune Sundby	Ruphus			1974
	/m/0h4v2f3	Daniel Pishock	mewithoutYou			
	/m/0h4v2dq	Aaron Weiss	mewithoutYou			
	/m/0h4tz6w	Mackie Jayson	Bad Brains	Percussion,Drum kit	1991	1994
	/m/0h4wy5c	Scotty Morris	Big Bad Voodoo Daddy			
	/m/0gl2js6	Ricky Warwick	The Almighty			
	/m/0g92k_2	Mack Messer	Penetrante Sorte		2002	
	/m/0h4tnjx	Ben Hale	Tony! Toni! Toné!			
	/m/0h4wsvw	Julio Segovia	Penguin Cafe Orchestra	Percussion		
	/m/0h3zz7w	Pat Sullivan	The Doors	Bassist		
	/m/0gb94v_	Odd-Erik Østerås	New Jordal Swingers		1973	1976
	/m/0h25vbs	DJ Muggs	Soul Assassins			
	/m/0gl29md	John Doyle	Solas			
	/m/0g74y0g	Ace Frehley	KISS		1996	2002-02
	/m/0g8l46r	Anderson Sa	AfroReggae			
	/m/0h4tm94	Pat Ellwood	The Marshall Tucker Band	Bass		
	/m/0h4t8_y	Alfie Scully	We Are the Ocean	Lead guitar		
	/m/05nq1q3	Tony Franklin	Sir Lord Baltimore			
	/m/05nn4sx	Chris Fehn	Lava Boiz		1998	
	/m/05cm5by	Anthony Scarpa	Headset			
	/m/05cksg9	Daniel Erlandsson	In Flames			
	/m/05yqn9_	Lawrence Dutton	Emerson String Quartet	Viola		
	/m/05sny31	Michel Lalonde	Lougarou	Acoustic guitar,Lead vocalist,Electric guitar	1975	
	/m/05n7l29	Bert Hildebrandt	Daniel Kahn and the Painted Bird	Clarinet		
	/m/0647bcs	Carlton "Santa" Davis	Big Mountain			
	/m/05chb79	Harry Drumdini	The Cramps	Drum kit		
	/m/05npfqp	Dizzy Reed	Guns N' Roses			
	/m/063dzyc	Cory Byrom	Round Ear Spock	Guitar	1993	1997
	/m/05cmtmt	Stephen O'Malley	House of Low Culture			
	/m/05nqgy4	Phillip Inzerillo	Suburban Legends			
	/m/05nqgwr	Tim Maurer	Suburban Legends			
	/m/0gb87qc	れいち	Marsh Mallow		1999	2004
	/m/0gk1p7t	Barry Finch 	The Fool			
	/m/0h4v47d	Jon Micah Sumrall	Kutless		2000	
	/m/0h0ts80	Morris Day				
	/m/0gv0bzs	Gordon Johnson	Paul Winter Consort			
	/m/0h3f48x	Dong Woon	Beast	Maknae,vocal		
	/m/0ggg04x	Jan-Sören Eckert	Iron Savior			
	/m/0gwbh8f	Simone Ghetti	Syvia			
	/m/0h4n6bx	Ben Eberbaugh	Black Lips			
	/m/0h4ry29	Hector Maldonado	Train	Bass guitar		
	/m/0h25vc4	The Alchemist	Soul Assassins			
	/m/0h4vhtk	Damon Minchella	Ocean Colour Scene			
	/m/0h3bj6p	Hyuna	Wonder Girls		2007	2007
	/m/0h4v2cp	Richard Mazzotta	mewithoutYou			
	/m/0h4x7pr	Randy Rampage	Annihilator			
	/m/0g68g5r	Dan Spitz	Anthrax		2005	2007
	/m/0h4rzt5	Alexis S.F. Marshall	Daughters	Vocals		
	/m/0h4trzt	Stu West	The Damned			
	/m/0h4qs0_	Jason Ellis	Dance Gavin Dance			
	/m/0gl1vw0	Gayle Moran	Return to Forever			
	/m/0gw0t8b	Christian Älvestam	Miseration			
	/m/0gl26bk	Stephen Thrower	Cyclobe			
	/m/0g89pp4	Mel Bell	A-Heads		2006	
	/m/0g89pnr	Ede Schicke	Hoelderlin		1979	1981
	/m/0g5xyzy	Jeremy Jackman	King's Singers		1980	1990
	/m/0h4x98n	William Goldsmith	Sunny Day Real Estate			
	/m/0gl2jl9	Al Cisneros	Sleep			
	/m/0h4w9j2	Sean McGrath	Saves the Day			
	/m/0gl1g6b	Rick Elias	A Ragamuffin Band			
	/m/0h3zs53	Eric Roberts	Gym Class Heroes	Backing vocalist,Bass	2004	
	/m/0h4qms5	Sean Pugh	A Flock of Seagulls			
	/m/0gl2h_k	Robyn Loau	Girlfriend			
	/m/0h4wt51	Lauren Andrews	Xiu Xiu			
	/m/0h4rhjb	Pete McCullough	Streetlight Manifesto	Bass guitar,backing vocals	2006	
	/m/0g8y220	Rainer Lipski	Das Spardosen-Terzett		1989	
	/m/0gx6rvr	Eleanor Shanley	De Dannan			
	/m/0h4xcm8	Bazil Donovan	Blue Rodeo			
	/m/0gl2179	Georg Breinschmid	Vienna Art Orchestra			
	/m/0h4ww77	Romeo Johnson	Rufus			